source term,target term
23" x 35",60cm x 90cm
23" ¡Á 47",60cm x 120cm
23" ¡Á 59",60cm x 152cm
23" ¡Á 63",60cm x 160cm
27¡å x 35¡å,70cm x 89cm
27¡å x 47¡å,70cm x 120cm
27¡å x 27¡å,70cm x 70cm
27¡å x 59¡å,70cm x 150cm
27¡å x 71¡å,70cm x 180cm
27¡å x 82¡å,70cm x 210cm
3.5"¡Á0.3",9cm x 0.9cm
3.5"¡Á0.3" + 6.3"¡Á0.3",9cm x 0.9cm+16cm x 0.9cm
3.9"W¡Á3.9"L¡Á8.7"H,10cm x 10cm x 22cm
35" x 35,90cm x 90cm
35¡å x 59¡å,90cm x 150cm
35¡å x 71¡å,90cm x 180cm
35" x 82",90cm x 210cm
35¡å x 102¡å,90cm x 260cm
35¡å x 110¡å,90cm x 280cm
35¡å x 118¡å,90cm x 300cm
35¡å x 126¡å,90cm x 320cm
35¡å x 134¡å,90cm x 340cm
35¡å x 142¡å,90cm x 360cm
35¡å x 27¡å,90cm x 70cm
35" x 35",90cm x 90cm
35" x 47",90cm x 120cm
35¡å x 59¡å,90cm x 150cm
35" x 63",90cm x 160cm
35¡å x 71¡å,90cm x 180cm
35" x 82",90cm x 210cm
35" x 94",90cm x 240cm
35¡å x 106¡å,90cm x 270cm
4.3"¡Á11.4",29cm x 11cm
4.7"W¡Á4.7"L¡Á11"H,12cm x 12cm x 28cm
43¡å x 102¡å,110cm x 260cm
43¡å x 110¡å,110cm x 280cm
43¡å x 118¡å,110cm x 300cm
43¡å x 126¡å,110cm x 320cm
43" x 43",110cm x 110cm
43" x 63",110cm x 160cm
43" x 71",110cm x 180cm
43" x 94",110cm x 240cm
43¡å x 82¡å,110cm x 210cm
5.5"W¡Á2.8"L¡Á7.5"H,14cm x 7cm x 19cm
5.9"L¡Á2"W¡Á4.0"Th,15.1cm x 10.1cm x 5.1cm
51"¡Á63",130cm x 160cm
52"W ¡Á 18"L,135 x 45cm
52"W¡Á17"L,132 x 45cm
53"W¡Á18"L,135 x 46cm
55"W x 102"L,140 x 260cm
55"W ¡Á 110"L,140 x 280cm
55"W ¡Á 118"L,140 x 300cm
55"W ¡Á 19"L,140cm x 50cm
55"W ¡Á 23"L,140cm x 60cm
55"W ¡Á 27"L,140cm x 70cm
55"W ¡Á 31"L,140cm x 80cm
55"W ¡Á 35"L,140cm x 90cm
55"W ¡Á 39"L,140cm x 100cm
55"W ¡Á 51"L,140cm x 130cm
55"W ¡Á 71"L,140cm x 180cm
55"W ¡Á 63" L,140cm x 160cm
55"W ¡Á 71" L,140cm x 180cm
59"W¡Á63"L,150cm x 160cm
59"W¡Á102"L,150cm x 260cm
59"W¡Á110"L,150cm x 280cm
59"W¡Á118"L,150cm x 300cm
59"W ¡Á 17"L,150cm x 45cm
59"W ¡Á 23"L,150cm x 60cm
59"W¡Á71"L,150cm x 180cm
59"W¡Á78"L,150cm x 200cm
59"W¡Á86"L,150cm x 220cm
55"W ¡Á 78" L,140cm x 200cm
55"W ¡Á 84" L,140cm x 214cm
55"W ¡Á 96" L,140cm x 244cm
59"W¡Á78"L,150 x 200cm
59"W¡Á86"L,150 x 220cm
59"W¡Á94"L,150 x 240cm
59¡± x 79",150cm x 200cm
6.3"W¡Á6.3"L¡Á9.8"H,16cm x 16cm x 25cm
6.3"¡Á0.3",16cm x 0.9cm
6.5"W¡Á2.6"L¡Á8.1"H,16.5cm x 6.6cm x 20.5cm
63"¡Á86",160cm x 220cm
Split-style 47¡å x 63¡å,120cm x 160cm
Split-style 47¡å x 71¡å,120cm x 180cm
Pillowcase -18¡å x 18¡å,Taie d'oreiller: 45cm x 45cm
Pillowcase-12¡å x 20¡å,Taie d'oreiller: 30cm x 50cm
Pillowcase with core 18¡å x 18¡å,Taie d'oreiller avec noyau: 45cm x 45cm
Pillowcase with core 12¡å x 20¡å,Taie d'oreiller avec noyau: 30cm x 50cm
Pillowcase-12¡å x 20¡å,Taie d'oreiller: 30cm x 50cm
71" x 118",180cm x 300cm
