序号,商品店铺ID,商品ID,商品SPU
20,8124348760359,63028,FT0018
234,8226249736487,70901,FT0245
235,8226989867303,70913,FT0246
236,8227005202727,70915,FT0247
237,8227033645351,70918,FT0248
238,8227043246375,70922,FT0249
247,8227204825383,71018,FT0242
248,8227231170855,71021,FT0243
249,8227276194087,71026,FT0244
272,8229937512743,71111,FT0272
338,8235697963303,71322,FT0338
411,8242433098023,72048,FT0410
449,8244948500775,72248,FT0461
521,8264376615207,73349,FT0533
532,8264479015207,73404,FT0544
559,8268908495143,73586,FT0552
609,8289541259559,74499,FT0596
775,8340490453287,77475,FT0749
817,8349152051495,78265,FT0798
866,8357330616615,78704,FT0878
924,8380440412455,79811,FT0905
1181,8428378063143,82927,FT1240
1198,8428670222631,82970,FT1178
1429,8508589048103,86666,FT1474
1430,8508593340711,86705,FT1475
1435,8508611068199,86816,FT1480
1484,8508585279783,87537,FT1412
1551,8539216052519,88625,FT1534
1591,8545759985959,89085,FT1617
1600,8547988832551,89230,FT1558
1611,8548874125607,89323,FT1569
1688,8576543457575,106989,FT1700
1718,8580584735015,112645,FT1672
1772,8611600859431,113662,FT1743
1810,8608294043943,114516,FT1794
1917,8633201656103,116271,FT1916
1959,8661146796327,117439,FT1943
1987,8671694029095,117809,FT1971
2045,8752591208743,119371,FT2029
2063,8755281363239,119854,FT2064
2111,8759963713831,122244,FT2109
2115,8760033116455,122323,FT2113
2174,8775112950055,123965,FT2158
2177,8775175995687,123979,FT2161
2190,8775395213607,124033,FT2174
2284,8802888810791,125779,FT2257
2381,8828435726631,127593,FT2366
2382,8828499165479,127628,FT2367
2409,8833047134503,128014,FT2401
2411,8835772743975,128219,FT2403
2452,8843450286375,129649,FT2434
2469,8846439055655,129952,FT2467
2472,8846440661287,129955,FT2470
2473,8846440956199,129956,FT2471
2474,8846441087271,129957,FT2472
2476,8846442037543,129959,FT2474
2481,8848628646183,134900,FT2479
2550,8855228678439,136331,FT2542
2554,8859789656359,137145,FT2546
2555,8859809808679,137150,FT2547
2556,8859933933863,137158,FT2548
2558,8859980169511,137182,FT2550
2564,8860172648743,137290,FT2556
2567,8861139763495,137421,FT2559
2568,8861175775527,137426,FT2560
2569,8861222961447,137448,FT2561
2570,8861317103911,137466,FT2562
2581,8863901614375,137632,FT2573
2630,8874002940199,138569,FT2633
2670,8884414906663,139670,FT2682
2691,8888650957095,139983,FT2690
2693,8888716656935,139996,FT2691
2694,8888724160807,139998,FT2692
2766,8901513347367,141846,FT2756
2797,8906151526695,142825,FT2782
3041,8955976778023,152565,FT3027
3204,9007977136423,162364,FT3193
3277,9032714879271,182026,FT3259
3301,9036256051495,182640,FT3301
3356,9050508067111,184121,FT3364
3359,9050622132519,184202,FT3367
3360,9053264675111,184274,FT3368
3375,9054842356007,184438,FT3371
3467,9109543387431,187497,FT3459
3541,9155747873063,222743,FT3537
3655,9236254785831,226429,FT3645
3674,9265014931751,227496,FT3665
3779,9289409626407,231101,FT3780
3781,9289424994599,231111,FT3782
3782,9289432629543,231115,FT3783
3815,9308896166183,238848,FT3816
3838,9315102982439,247171,FT3858
3929,9342294032679,262718,FT3931
4141,9398172713255,267575,FT4143
4156,9399647273255,267841,FT4158
4188,9411298885927,269059,FT4186
4193,9414369181991,269151,FT4191
4231,9426638831911,270307,FT4233
4237,9426793529639,270398,FT4239
4259,9430832808231,272697,FT4280
4350,9454397260071,284019,FT4352
4378,9463001841959,288412,FT4387
4512,9484437979431,302411,FT4518
4550,9492869251367,303894,FT4556
4733,9513315041575,320146,FT4765
4906,9544124662055,331525,FT4916
4943,9548629082407,332559,FT4945
4944,9548676268327,332592,FT4946
4945,9548759007527,332707,FT4947
4946,9548783583527,332732,FT4948
4947,9548800491815,332753,FT4949
4948,9548824576295,332780,FT4950
4949,9548834177319,332795,FT4951
4950,9548855738663,332812,FT4952
4951,9548872253735,332833,FT4953
5028,9569869693223,342930,FT5024
5038,9572842078503,346371,FT5049
5261,9602713026855,382970,FT5266
5295,9606389367079,391666,FT5316
5408,9623713743143,406866,FT5443
5411,9623775609127,406941,FT5446
5458,9630318821671,413548,FT5490
5476,9632632406311,415563,FT5508
5842,9672600486183,460662,FT5878
5959,9699557245223,479837,FT5994
5995,8124348760359,63028,FT0018
6209,8226249736487,70901,FT0245
6210,8226989867303,70913,FT0246
6211,8227005202727,70915,FT0247
6212,8227033645351,70918,FT0248
6213,8227043246375,70922,FT0249
6222,8227204825383,71018,FT0242
6223,8227231170855,71021,FT0243
6224,8227276194087,71026,FT0244
6247,8229937512743,71111,FT0272
6313,8235697963303,71322,FT0338
6386,8242433098023,72048,FT0410
6424,8244948500775,72248,FT0461
6496,8264376615207,73349,FT0533
6507,8264479015207,73404,FT0544
6534,8268908495143,73586,FT0552
6584,8289541259559,74499,FT0596
